,language,sentences,Dependency_length,Intervener_Complexity,Sentence_length,Memory_load
8998,Finnish,"Asiantuntija pohtivat nyt , voiko selkkaus laajentua ja johtaa vuoden 1991 tapaiseen yhteenottoon Belgradin ja Zagrebin välillä .",45,32,18,11
8999,Catalan,"Alguns han utilitzat la llotja virtual, la novetat d'aquest any, a través de la qual podran ser contractats grups i companyies.",80,39,21,13
9000,Russian,"Из двух основных типов размножения - полового и бесполого, первое характеризуется исключительным разнообразием форм поведения, нацеленных на поиск партнёра, образование пар, узнавание партнёра, брачные ритуалы и собственно спаривание.",139,72,28,14
9001,Russian,"Овод не кусается и живет недолго, зато его личинка - паразит копытных животных и доставляет большие неприятности северным оленям: самка откладывает яйца на их шерсть, личинка внедряется под кожу и живет там, образуя свищи…",143,65,34,19
9002,Finnish,Usein on yritettävä olla molempia .,9,6,6,1
9003,Ukranian,"Як сказав він «не хочу», так усі злидні і кинулись йому на шию.",46,24,13,9
9004,Romanian,Originea mult mai îndepărtată în timp a eposului este probată de existența b. mitico-fantastice (cum ar fi Soarele și luna).,59,33,20,12
9005,French,"Il s'agirait d'un port de marchandises international, situé en aval du pont de Pančevo.",52,27,14,9
9006,Croatian,"""Ovaj se eksperiment obavlja s golemom količinom vodene otopine (...)",29,18,10,5
9007,Dutch,Evenals vele belangstellenden voor het beeldengroepje hadden koninging Juliana en prinses Beatrix zich met de ontwerper onderhouden.,57,30,17,8
9008,German,Dem Nachrichtensender CNN zufolge waren entsprechende Vereinbarungen über eine mögliche Abstandszahlung getroffen worden .,41,26,14,7
9009,Slovenian,Morda bi morali tekmovalce razdeliti v razreda A in B.,18,11,10,2
9010,Romanian,"Tot al lui Gogu era mai tare, o alunga și se întorcea potolit.",36,18,13,9
9011,Greek,"Από αυτή την άποψη, θέλω να εξετάσω την ισορροπία μεταξύ των οικονομικών, των περιβαλλοντικών και των κοινωνικών ζητημάτων.",72,37,18,10
9012,Russian,Персональный заказ на образование становится значимее официального.,12,10,7,3
9013,English,i 'd like to find a flight between dallas and philadelphia,14,10,11,4
9014,Korean,솔직히 얘기하자면 나로서는 정상회담을 하든 안하든 손해날 것이 없어요.,22,19,9,4
9015,Danish,Der er ikke længere råd til at bevare en smuk tradition.,29,14,11,6
9016,Slovenian,to je [name:surname] naprej,14,8,4,2
9017,Korean,뿐만 아니라 그 가운데 몇몇 작품은 바로 그 무대 배경이 경도로 되어 있거나 제작 장소가 그곳으로 나타난다.,38,29,17,10
9018,Croatian,"Novi Marof je suvremeno gradsko središte s brzorastućim i profitabilnim gospodarstvom, u kojem žive zadovoljni i poduzetni ljudi u ekološki očuvanom krajoliku.",82,56,22,13
9019,English,how are you ?,4,3,4,0
9020,Swedish,Först söker Access efter en RefLibPaths-nyckel på följande plats i Microsoft Windows-registret:,42,19,12,6
9021,Russian,Монахов лежал и обижался на жизнь.,12,8,6,1
9022,Ukranian,Решта вирощується в теплицях господарств населення.,11,8,6,2
9023,Chinese,後來選出的議員，主要包括政治活動家、自由職業者、原清朝官吏等。,73,36,1,11
9024,Japanese,______,5,5,1,3
9025,Slovenian,"Minister Gaber je zagotovil, da ne glede na to, ali bomo kaj spreminjali sistemsko ureditev dualnega sistema izobraževanja, o čemer je obrtna zbornica že dala nekaj predlogov, bo ministrstvo vztrajalo pri tem, da bodo nove generacije dijakov in vajencev opravile del izobraževanja tudi v delovnem procesu.",288,132,46,22
9026,Korean,2010년 3월 31일에 나가오카 시와 접하지는 않지만 월경지로 편입되었다.,19,19,9,3
9027,German,Diesen Wechsel auf die Zukunft möchten die Börsianer nun offensichtlich langsam eingelöst sehen .,41,25,14,7
9028,Polish,Katarzyna II również była bardzo zadowolona.,13,7,6,1
9029,Italian,approfondirete la figura di mario monti?,13,8,6,1
9030,Italian,I cittadini possono telefonare a questo Numero Verde anche per avere informazioni sulle associazioni che aiutano le persone a risolvere i loro problemi.,62,34,23,12
9031,Polish,"Spaja załogę, potrafi krzykiem poderwać do walki.",17,11,7,5
9032,Croatian,"Samim tim, na smještaj u Studentskom naselju može računati samo 120 brucoša, što je svega oko tri posto novoupisanih studenata na riječkom Sveučilištu.",84,46,23,16
9033,Greek,Πηγές της Αντιπολίτευσης αναφέρουν ότι «οι κυβερνητικές δυνάμεις προσπαθούν να αποτρέψουν τις ομάδες του Ερυθρού Σταυρού να γίνουν μάρτυρες της σφαγής που συντελείται από τους σύρους στρατιώτες που καταδιώκουν και εκτελούν τους εναπομείναντες αντάρτες».,135,69,34,20
9034,English,Since when I entered this company .,15,8,7,3
9035,Catalan,Pel que fa als serveis mínims en horari normal només obriran un 20 per cent de les farmàcies mentre que es respectarà o s'incrementarà el nombre d'establiments de guàrdia.,83,45,29,19
9036,Norwagein,Øremerking,0,0,1,0
9037,Japanese,___　________________________,8,6,2,3
9038,Slovenian,"ZAGREB, 22. (Od našega dopisnika) Po večmesečnih vročih predvolilnih pripravah se je včeraj začel 7. splošni zbor Hrvaške demokratske skupnosti.",75,32,20,10
9039,Portuguese,«Tem muitos conhecimentos gerais e faz digressões um pouco longas.,28,19,10,9
9040,Spanish,"Sin embargo, la memoria que perdurará será la misma que ocurrió en abril, cuando hubo cuatro partidos en 18 días y que generaron más espectáculo fuera de las canchas que dentro de ellas.",108,58,33,19
9041,English,Please let me know what time would work for you.,23,16,10,7
9042,Slovenian,"Nekateri so se preveč upirali, da bi idejo lahko uresničili.",38,12,10,7
9043,English,"But if it isn't, and Chrome continues to surge, IE could fall to fourth place.""",62,29,15,13
9044,Swedish,Det är ungefär som om puritaner i sextonhundratalsdräkt och med sextonhundratalets seder och bruk fortfarande skulle leva i Plymouth och Boston.,53,28,21,11
9045,Italian,L'assegno e la dotazione del Presidente sono determinati per legge.,24,15,10,5
9046,Catalan,La Fundació 'La Caixa' col·labora amb aquesta entitat en un projecte de millora i adequació de les instal·lacions i en la creació d'un centre de dia.,91,48,26,11
9047,Norwagein,"Verdien er til sammen rundt 600 millioner kroner, eller tre millioner i snitt.",41,27,13,7
9048,Chinese,科恩出生于英国伦敦哈默史密斯，毕业于剑桥大学基督学院历史系。,54,32,1,7
9049,Ukranian,Чому ви жіночі циці зневажливо називаєте цицьками.,16,10,7,3
9050,Lithuanian,"Jeigu ne, nenusiminkite, kad pražiopsojote – paprašykite, kad draugė ar mama spalvinamąja kauke ar putomis juos atgaivintų.",63,34,17,10
9051,Finnish,Meidän taseissamme ei ole miljardien mentäviä aukkoja .,17,8,8,3
9052,Polish,"Ja staram się tylko zobrazować to, że same ubooty, choćby nie wiem jak doskonałe, potrzebują wsparcia, a to zapewniały im i te ""maluchy nawodne"" i te kolosy.",132,58,27,23
9053,Dutch,Ik heb me een slag in de rondte gewerkt.,33,17,9,4
9054,Polish,"Trzynastolatek był członkiem grupy przestępczej, w której działali oskarżeni o jego późniejsze zabójstwo.",38,22,13,10
9055,Lithuanian,"Kiekvienas turistas buvo prašomas į aukų dėžutę įmesti tiek pinigų, kiek norėtų.",31,20,12,7
9056,Polish,To dobrze.,2,2,2,0
9057,Dutch,Gemeenten met een stadstitel hebben een « (stad) » achter de naam,35,16,12,7
9058,Italian,"Considerato quanti pochi scienziati hanno riconosciuto la misura in cui le uova di una donna formino le prospettive delle sue nipoti, non è sorprendente che i politici rimangono così ignari per quanto riguarda l'impatto a lungo termine della salute delle donne.",174,94,41,23
9059,Lithuanian,Visgi dėl karjeros lankytis panašiuose renginiuose neabejotinai verta!,14,13,8,1
9060,Danish,"I oktober 1991 underskrev ministerpræsident Hun Sen sammen med lederne af de tre øvrige politiske bevægelser i Cambodia en freds- og hensigterklæring, der skal forvandle Cambodia fra et borgerkrigshærget u-land til et vestlig inspireret demokrati med markedsøkonomi som drivkraft.",146,71,39,21
9061,German,"Die NASA hofft , mit dem Mars Polar Lander , Deep Space 2 und dem Marsmikrofon einen erneuten Rekord im Internet setzen zu können .",102,54,25,10
9062,Russian,"Мне об этом рассказывал Валентин Балашов, глава комиссии, начальник Баренцо-Беломорского территориального управления.",47,23,12,9
9063,Japanese,_______________________,0,0,1,0
9064,Portuguese,"Segundo Ricardo Jordão, gerente de marketing da Brasoftware, o produto -- entregue no máximo em 15 dias -- sai por um preço similar à importação feita pelo usuário.",94,52,28,12
9065,Danish,"- Turisterne er vilde med danske nisser og betaler gerne 50 kroner for de små nisser, og 150 kroner for de store, fortæller Erik Karlsson.",149,59,25,19
9066,English,"Four persons were arrested, reportedly belonging to the Manipur Revolutionary People's Front.",36,21,12,6
9067,Russian,В Грозном близится к завершению восстановление трех семейных общежитий для временного размещения вынужденных переселенцев из чеченской столицы.,46,26,17,7
9068,Japanese,_________,8,8,1,3
9069,Spanish,"Su caudal ha sido observado durante 56 años, en el periodo 1931-88, en Rechelskoye.",53,23,14,10
9070,Russian,"Иначе откуда такая ""шумиха""?",13,7,4,3
9071,Portuguese,Quatrocentos outros são ainda procurados pelas forças de segurança.,18,12,9,3
9072,Danish,"""Jeg havde på det tidspunkt en kæreste, som jeg havde boet sammen med i to år, men det forhold gik i vasken, da jeg begyndte på skolen.",113,54,27,15
9073,Russian,"Сама, правда, не носила.",12,8,4,2
9074,Russian,"Тем не менее причина взрыва разлившегося по подвальному помещению газа еще не установлена, подчеркнули в УВД Чечни.",49,29,17,13
9075,English,Dear Vince,1,1,2,1
9076,English,That too may change.,7,4,4,0
9077,Finnish,Muistatte varmaan kouluajoilta tämän tunnetun roomalaisen senaattori Caton .,27,14,9,3
9078,Polish,Nasze uczestnictwo też ma swój udział.,10,8,6,3
9079,Spanish,Las citadas tarifas oscilan entre las 1.850 pesetas al mes (si se trata de accesos a centrales locales) y las 2.300 pesetas (si la comunicación es de tránsito simple - conexión a una única central por provincia -).,162,78,38,17
9080,Russian,"За год с начала эксперимента в дивизии предстояло капитально реконструировать 157 зданий, многие из которых - постройки 1935-1937 годов, построить 16 многоквартирных домов, поскольку в самой дивизии оказалось более тысячи бесквартирных офицеров.",137,74,32,15
9081,Lithuanian,"Trečiadienio vidurdienį didesniu ar mažesniu mastu buvo trikdomas 35 universitetų darbas, penki buvo visai uždaryti.",49,26,15,10
9082,Finnish,Olin vain laiska.;),6,4,3,0
9083,Polish,"W sprawę zamieszany był także - skazany wczoraj na 3 lata więzienia i 500 złotych grzywny - Robert M., pracownik warszawskiej firmy windykacyjnej, narzeczony jednej z niedoszłych ofiar.",112,52,28,11
9084,Norwagein,Hovedstaden har noe helt eget over seg og den minner ikke om noen andre byer.,50,22,15,10
9085,Russian,"Был открытый политический процесс"".",12,6,4,4
9086,Norwagein,Mor anmelder faren for å ha misbrukt sønnen.,21,9,8,4
9087,Japanese,___,2,2,1,2
9088,Spanish,Lluís Prenafeta también narra sus actividades empresariales en el sector de la piel y en Rusia.,44,22,16,7
9089,German,"SC ergänzt damit das eher anwendungsbezogene Expertisespektrum der DLR - Institute um die Aspekte, die in der modernen Softwareentwicklung benötigt werden.",87,50,21,13
9090,Polish,"Gdy dotarliśmy wreszcie do schroniska na Pysznej, prowadzonego wtedy przez Staszka Karpiela, Oppenheim siedział już sobie dobrze obeschnięty na ławie pod piecem i popijał tak zwaną przez Byrcyna ""mądrą herbatę"" - pół na pół ze spirytusem.",129,66,36,17
9091,Ukranian,"Зокрема, депутат від ""Народного фронту"" Анатолій Дирів кнопкодавив під час голосування за законопроект №5247 про призначення позачергових виборів Сєвєродонецької міської ради Луганської області.",82,45,23,10
9092,Polish,- Zwariowałaś?,2,2,2,2
9093,Italian,"La miserella intra tutti costoro pareva dir: «Segnor, fammi vendetta di mio figliuol ch' è morto, ond' io m' accoro»; ed elli a lei rispondere: «Or aspetta tanto ch' i' torni»; e quella: «Segnor mio», come persona in cui dolor s' affretta, «se tu non torni?»; ed ei: «Chi fia dov' io, la ti farà»; ed ella: «L' altrui bene a te che fia, se 'l tuo metti in oblio?»; ond' elli: «Or ti conforta; ch' ei convene ch' i' solva il mio dovere anzi ch' i' mova: giustizia vuole e pietà mi ritene».",449,201,94,36
9094,Russian,Применялись порой даже совершенно курьезные методы давления на цены.,22,18,9,4
9095,Portuguese,"A urbanização de Arcena passou por um complicado processo, com origem numa venda entre sócios da empresa proprietária, a Eurocapital.",58,30,20,11
9096,Swedish,Varför störde jag då den ytan?,14,7,6,3
9097,Catalan,"La defensa dels tres acusats, que seran jutjats el proper dia 17 a l'Audiència de Girona, demana per a ells l'absolució.",88,39,21,13
9098,Slovenian,"Vprašanje se morda zdi absurdno, vendar je nekaj vzporednic.",24,12,9,6
9099,French,Il a été construit en 1968 par Wärtsilä à Turku en Finlande sous le nom de Bohème pour Wallenius Lines.,69,37,20,6
9100,Italian,"Per le ricerche e le coltivazioni minerarie, di cui abbia ottenuto il permesso, l'usufruttuario deve indennizzare il proprietario dei danni che saranno accertati alla fine dell'usufrutto.",87,48,26,15
9101,French,"Pour préserver l'emploi, dans un contexte où les exportations vers l'Europe pourraient souffrir des difficultés du vieux continent, nous devrions faire plus d'affaires avec l'Afrique, où il y a encore des niveaux substantiels de croissance, a pour sa part indiqué le ministre des Finances, Pravin Gordhan, de retour de la réunion annuelle du Fonds monétaire international (FMI).",298,141,57,23
9102,Russian,"И виной всему была его эмоциональность, провалы в наивность, которые никогда себе не позволяли его коллеги…",56,23,16,11
9103,French,Cela fait bien longtemps que n'avions aussi bien mangé et été aussi bien reçu,35,20,14,3
9104,Swedish,Harry stirrade på dem. De såg allesammans förväntansfullt på honom.,21,12,10,8
9105,Spanish,"En 1887, se convirtió en la primera mujer en formar parte de la junta escolar en Rotherham y en 1894 fue nombrada asistente de James Bryce en la Royal Commission on Secondary Education, para investigar la educación de las niñas en Devon.",161,73,42,17
9106,Russian,"Официальная версия: Кишинев, мол, занимается реэкспортом этой продукции, да еще и нарушает какие-то нормы.",67,34,14,10
9107,Chinese,第5條第（3）款規定國旗必須按照附表2所列規格製造。,62,36,1,7
9108,Italian,"Egli chiedeva "" un uomo giovane e vigoroso che non appartenesse né al direttorio né all'impero, ma chi lo incarnasse nel 1830 ... """,100,44,24,16
9109,Spanish,Lierne es un municipio del Interior Namdal en Nord - Trøndelag.,32,17,11,6
9110,Finnish,Galapagossaaret ovat kuuluisia erikoisesta eläimistöstään.,9,6,5,1
9111,Swedish,Det är anledningen till att vi godkänner betänkandet.,20,9,8,4
9112,Russian,"Впрочем, провалить контракт вслед за Беллом Чадлингтон просто не успел - он растворился в лондонском смоге почти сразу же, потому что после разгрома митинга в день выборов и ареста всех кандидатов в президенты, о позитивном имидже на Западе лучше было просто забыть.",200,107,42,17
9113,Portuguese,Missão em NY é ameaçada,8,6,5,0
9114,Polish,Wzięła mnie na ręce i zaniosła na łóżko.,22,12,8,4
9115,Croatian,"""Mi smo potpisali sporazum s predstavnicima srpske manjine, koji pružaju potporu našoj vladi"", rekao je Sanader najavljujući planove za imenovanje nekoliko predstavnika srpske zajednice na položaje državnih tajnika u vladi.",114,58,30,17
9116,Portuguese,"Há uma pequena parcela, no entanto, que é catastrofista ao ponto de afirmar que Lula sequer conseguirá tomar posse.",71,33,19,13
9117,Croatian,"""Uvjerena sam da će"" Paukova mreža ""imati svoj epilog na međunarodnim sudovima"", rekla je Taseva.",91,38,15,10
9118,Dutch,Enige nadeel is zijn aanwezigheid,6,5,5,1
9119,Italian,"Ricominciar, come noi restammo, ei l'antico verso; e quando a noi fuor giunti, fenno una rota di sé tutti e trei.",80,44,21,17
9120,Catalan,L'exsubdelegat Raül Navarro presentarà denúncia contra el fiscal en cap de l'Audiència de Tarragona José Maria Parra per prevaricació en la seva actuació en les investigacions de l'anomenat cas Irisha.,112,53,30,10
9121,Danish,"Og han har indset, at den bliver endnu kortere, når han og kæresten Cecilie Olrik til marts bliver forældre.",79,40,19,14
9122,Greek,Θέλω να σχολιάσω τις παρατηρήσεις του κ. MacCormick διότι μου φαίνεται ότι διαμαρτυρείται υπερβολικά.,41,22,14,7
9123,Swedish,"För de europeiska medborgarna säkerställer den att allmänhetens intressen, som är så viktiga i det dagliga livet, tas till vara.",91,37,20,13
9124,German,"Was als Tugend der klassischen Ökonomie erscheint , soll auch den Firmen der Internet-Ökonomie das Überleben sichern .",51,35,18,9
9125,Italian,Il mio gruppo ritiene inoltre importante tenere maggiormente in considerazione le isole e le regioni periferiche e promuovere il dialogo tra il mondo urbano e quello rurale.,82,44,27,15
9126,Chinese,诸葛亮发明八阵图以利立营练兵。,18,10,1,2
9127,German,Iacobucci war Chef des gemeinsamen IBM/Microsoft-Teams für das Design von OS/2 .,41,21,12,7
9128,Italian,"In ogni Regione, lo statuto disciplina il Consiglio delle autonomie locali, quale organo di consultazione fra la Regione e gli enti locali.",64,36,22,10
9129,Japanese,___________,10,10,1,3
9130,Italian,Molti sono morti durante un periodo di vacanza o addirittura in viaggio.,34,16,12,3
9131,German,"Der Beratende Ausschuss habe am Donnerstag einen entsprechenden Entschluss gefasst , schreibt die Zeitung in ihrer Freitagsausgabe .",44,31,18,10
9132,Italian,"Al mio fianco, durante gli allenamenti come nel corso della maratona, c'è stato sempre il dottor Arnaldo Coletti, medico e dietologo dell'equipe di Gualdo Tadino, che mi ha sempre sostenuto, consigliato, incitato e che ha avuto anche il compito più ingrato:",174,83,41,23
9133,Finnish,Ainakin hetkeksi…,2,2,2,0
9134,Greek,"Στο μεταξύ, οι υπηρεσίες του υπουργείου Υγείας της Κύπρου εντόπισαν σε δείγματα μελιού ελληνικής προέλευσης υπολείμματα της ουσίας 1,4 διχλωροβενζόλιο και συνέστησαν στους καταναλωτές να αποφεύγουν συγκεκριμένες παρτίδες του μελιού ""Attiki"" με ημερομηνία ανάλωσης πριν τον Ιανουάριο_του_2008.",121,74,37,13
9135,Slovenian,Stopila je po torbico in mu pokazala prerezana ročaja.,26,13,9,3
9136,Korean,"이러한 심리분석적 접근으로 한편으로는 심한 충격에 의한 병적 상태를, 또 한편으로는 작품에 공통적인 이미지의 연합적 망을 설명한다.",50,40,17,9
9137,English,Six weeks of basic training.,9,7,5,2
9138,Japanese,性格は残忍で、人族を見かけると襲撃して金品を奪ったり、殺して食料にしてしまう。,59,45,1,13
9139,Chinese,费尔南多·德·埃雷拉（Fernando de Herrera），文艺复兴时期欧洲诗人。,39,24,3,8
9140,Korean,그 건물은 염라국에 오는 사람이면 누구나 거쳐가야 하는 염라국 검찰청이었다.,20,17,10,6
9141,Greek,Σε μειονεκτική θέση οι Τάταροι της Κριμαίας αν η Ρωσία επικρατήσει στην περιοχή.,36,23,13,8
9142,Russian,"На другом предприятии аудитор, когда пришел на проверку, обнаружил вместо ожидаемых труб гору снега.",42,25,14,9
9143,French,"Les premières éditions des Noëls de Saboly consistent en sept fascicules reliés ensemble, datés entre 1669 et 1674, conservés à Paris Ars.",102,57,22,13
9144,Portuguese,Já em Ancara que se tornaria capital Kemal presidiu a grande Assembléia Nacional.,29,16,13,6
9145,Romanian,"întorcându-se de la un exercițiu de antrenament într-o seară, Stirling s-a împiedicat de odgoanele cortului său și s-a tăiat la ochi destul de rău, lucru care a determinat o întoarcere la spital.",132,70,32,17
9146,Norwagein,"Inspektørene fra EU, IMF og ECB har de siste dagene finlest det greske budsjettet og regjeringens reformplan.",49,28,17,12
9147,Korean,그렇지만 곧 반전이 시작되더니 2주여 만에 1g당 2만 1천 3백 원이 되고 말았다.,40,27,13,6
9148,Russian,"Всегда очередь, но зато востребованы, мне нравится.",28,13,7,5
9149,Norwagein,I Nasjonalbibliotekets arkiv vil også det du har klart å få slettet fra nettet ligge lagret.,72,37,16,10
9150,French,"Selon Grant, en dehors de la différence de taille, il possède un regard proche de celui de Simplet.",64,33,18,9
9151,Norwagein,Ingrid Bolsø Berdal prøver å gjøre trøndersk til et hardt språk.,29,14,11,6
9152,Greek,"« Ένα να ξέρεις : όταν εσύ πήγαινες , εγώ γύριζα » συμπληρώνει και πηγαίνει σ την κουζίνα.",65,38,18,8
9153,Norwagein,Hvordan skal det gå med EU?,12,7,6,0
9154,Danish,"Jeg tænker på for eksempel Henning Dons, John Winther og Mikael Kold.""",49,26,12,7
9155,Romanian,"Nu era lucru mic acela, să vă uitați voi la aman.",33,14,11,5
9156,Chinese,路易斯公主一直無法懷孕，於是在1873年的夏天她去奧地利北部的Bad Ischl進行溫泉治療以加強受孕機會，卻始終沒效果。,103,59,2,14
9157,Ukranian,"Він довго не міг заспокоїтись після цієї пригоди, але це не пошкодило йому за хвилину вскочити по пояс у миску з водою, яку всі тепер учились пити.",95,46,27,17
9158,English,Good luck keeping business with that stuck up attitude Dr. Shady.,20,16,11,8
9159,Italian,"""Io ho imparato più [da Balzac] che da tutti gli storici di professione, economisti e statistici messi insieme.",75,38,18,11
9160,Slovenian,"Ko je izbruhnil škandal, se je vrnila v staro življenje.",24,13,10,7
9161,Spanish,"En el Censo de 2010 tenía una población de 3619 habitantes y una densidad poblacional de 624,35 personas por km².",56,33,20,8
9162,Norwagein,"Hvorfor gjør de det, tror du?",16,8,6,6
9163,Finnish,Samassa yhteydessä asuinalue purettiin.,5,5,4,1
9164,Slovenian,"Lahko bi denimo zapisali, da je v Bretonovi pesmi ženina postava vidra, njena ustnica kokarda, njen jezik hostija, njen hrbet živo srebro, njeno spolovilo gladiola itd.",109,64,26,17
9165,Slovenian,tole eee adapterčke še imam,5,6,5,0
9166,Romanian,"Iară noi, svînta sămînță, Să nu dăm cu dînș în sîlță.",31,17,11,8
9167,Chinese,在该条约中，乌克兰会成为波兰立陶宛联邦第三个，也是自治主体，处在波兰国王的最高统治权下，但拥有自己的军队、法院和财政部。,157,74,1,16
9168,Japanese,_____________________,0,0,1,0
9169,Portuguese,"Ainda assim, é de se supor que existam bons agentes de polícia.",30,19,12,8
9170,Norwagein,"Biskoper utnevnes av kirkens egne organer, på grunnlag av en bred nominasjons- og valgordning.",48,20,14,9
9171,Lithuanian,"Emociškai pajėgūs žmonės labiau mėgaujasi gyvenimu, lengviau įveikia sunkumus.",20,13,9,6
9172,Japanese,_____________________________________________________________________________,0,0,1,0
9173,Slovenian,ozelenele so vrtne gredice,5,3,4,0
9174,Slovenian,mislim da ne vem takrat v dolarjih zdaj si bom izmislila primerjavo za dvajset dolarjev ampak nisi je mogel prenesti ven čez mejo ne,57,27,24,13
9175,Ukranian,Оришка пильно дивилася на неї.,9,6,5,0
9176,Spanish,"Tras el pago de tres millones de pesetas, los niños eran inscritos en el registro como hijos biológicos del padre adoptante, que se hacía con la custodia.",84,42,27,14
9177,Chinese,甲板长333米，宽60米，高29.8米，总载重30.8万顿，满载总排水量35万顿。,50,32,1,10
9178,Lithuanian,"Stalino laikais sovietai mąstė ne tautinėmis, o klasinėmis, vėliau, po Stalino, grynai pragmatinėmis kategorijomis: jeigu tu nesipriešinsi mūsų valdžiai, tai nebūsi naikinamas ir galėsi daryti karjerą, vis vien kokiai tautai priklausai.",158,75,31,15
9179,Danish,Folkelig støtte,1,1,2,0
9180,Russian,"Зритель, пришедший в театр познакомиться с биографией великого художника или полюбоваться его ожившими полотнами, будет обескуражен.",60,35,16,10
9181,Russian,"Тетя Рита, вот хороший домик, маленькие окна, лестница на второй этаж, цветы на подоконнике, фартук и метла, свеча, кушак и круглое зеркало, живи здесь!",215,103,24,14
9182,Dutch,"een van de consequenties is de omlegging van rijksweg 16, wat weer nadelig is voor het toekomstige Spaarnwouderbos.",57,25,18,14
9183,Russian,"Эту же композицию они исполняют на концерте Бочелли ``Vivere: Andrea Bocelli Live in Tuscany&#39;&#39;, а также композицию ``Canto della Terra&#39;&#39;, которая входит в новый альбом певицы.",122,56,26,15
9184,Swedish,Ska hon bli mor?,6,4,4,0
9185,Romanian,"Unde ți-e, mormente, acul tău?",16,11,5,3
9186,Polish,"Na koniec kokieteryjnie usprawiedliwiła się, że mówi bez ładu i składu, bo jest już w zaawansowanym wieku.",54,27,17,9
9187,Spanish,Se encuentran en Sudamérica: cuenca del río de La Plata.,28,16,10,7
9188,Ukranian,"У нас начальник міністрів і начальник прокурорів не мають вищої освіти, то чого соромитися?",37,22,14,7
9189,Greek,"Ωστόσο, βρισκόμαστε ακόμα πολύ μακριά από ένα τέτοιο σημείο.",27,13,9,5
9190,Japanese,_______________________________,0,0,1,0
9191,Greek,« Η ώρα είναι περασμένη και ο φόνος απλός ».,29,14,10,5
9192,Lithuanian,Vidutinė registracijos procedūros trukmė taip pat sutrumpėjo 50 %.,16,14,9,3
9193,Romanian,"Este un document personal, care înregistrează parcursul educațional european străbătut de titularul său și îl ajută pe titular să comunice mai bine ceea ce a dobândit prin această experiență, în special în termeni de competențe.",118,62,35,18
9194,Romanian,"Oseltamivirul nu interacționează cinetic cu amoxicilina, care este eliminată pe aceeași cale, sugerând că interacțiunea oseltamivirului cu această cale este redusă.",88,39,21,13
9195,Spanish,"Además, la tecnología de los misiles balísticos ya se encuentra al alcance de países en vías de desarrollo, como no hace tanto han demostrado iraníes e iraquíes.",103,53,27,15
9196,Catalan,Tots els veïns de Sant-Etienne-en-Dévouly tenien coneguts entre les víctimes.,21,14,10,5
9197,Chinese,烏拉圭國家足球隊在其球衣上顯示4顆冠軍星章：分別代表於1930年和1950年獲得的兩個世界盃冠軍以及於1924年和1928年獲得的兩個奧運會冠軍。,138,86,1,16
9198,Romanian,"În clipa când o revăzu, se simți atât de ușurat încât nu se putu opri să n-o privească drept în față mai multe secunde.",79,47,24,16
9199,Italian,"Ne La fenice e la tartaruga, pubblicata in Love's Martyr, di Robert Chester nel 1601, si piange la morte della leggendaria fenice e della sua amata, la fedele tartaruga.",139,59,29,18
9200,Croatian,"Ipak, stanovništvo Katange nastavlja živjeti u iznimnom siromaštvu dok se multinacionalne tvrtke osjećaju ugrožene dolaskom kineskoga kapitala.",52,34,17,10
9201,Croatian,Odbacili su i Nobilovu izjavu da su u slučaju njegova branjenika primijenjene odredbe starog ZKP-a zato što je to odgovaralo ministru unutarnjih poslova Karamarku u njegovoj predizbornoj kampanji.,113,58,28,17
9202,Catalan,"Un any després, amb Cómo ser John Malkovich, llançada comercialment amb èxit per la productora de Michael Stype - el cantant del grup REM -, tots volen ara algun dels seus surrealistes i arriscats guions, i en té.",194,87,38,22
9203,Spanish,"Los integrantes de UnoAmérica preven grandes cambios durante el año 2011, el cual estará signado - según ellos - por el fracaso definitivo del Socialismo del Siglo XXI, y el surgimiento de nuevos factores políticos, mas interesados en el desarrollo regional que en las ideologías.",189,86,45,19
9204,Japanese,_____________________________________,0,0,1,0
9205,Lithuanian,"Auditorių nuomone, kūrėjai neįvertino, kad koncepcijos neįmanoma įgyvendinti finansiškai.",26,15,9,5
9206,Danish,"De snakker allesammen swahili med hinanden, og jeg går ud fra, at de har været på sprogkursus.",61,30,17,12
9207,German,Seit dem gestrigen Sonntag war das Gerücht im Umlauf :,22,14,10,5
9208,Catalan,"Més de 9.500 escoles de tot l'Estat participen en cursos i xerrades de Mapfre on expliquen als nens i nenes per què es produeixen els accidents, quines actituds hem de tenir com a vianants i les conseqüències d'un atropellament.",174,96,39,18
9209,Lithuanian,"Vakar „Lietuvos energijos “vadovas sakė neketinąs atsistatydinti, nes esąs visiškai tikras dėl savo ir savo komandos sprendimų bei nebijąs premjero inicijuotų patikrinimų.",79,44,22,12
9210,Japanese,____________________________________,0,0,1,0
9211,Polish,Kochaj siebie!,3,2,2,0
9212,Greek,« Δεν ξέρω πού είναι τώρα ».,15,8,7,4
9213,Spanish,"Visiblemente preocupado por la suspensión zapatista del incipiente diálogo, Fox se reunió enseguida con el Grupo Chiapas - - formado por los miembros de su Gobierno relacionados con el conflicto - - y después con diputados y senadores priístas del estado sureño, a quienes reprochó las insuficiencias de la ley.",194,92,50,19
9214,Ukranian,"зима прикрашає все довкола, тільки не дарницю.",23,9,7,5
9215,Polish,Jacek Żakowski: Pan marszałek będzie sam czy inni politycy SDPL też tam będą?,50,23,13,8
